_id	vector_id	timestamp	speed	elapsed	level_of_service	cin_id	creation_time
69470	283	2016-09-04T19:26:00Z	49.0939	2977.0	green	cin19961223T200437851371477140234834568960	1473017223
69471	282	2016-09-03T10:32:00Z	77.50765	444.0	green	cin19961223T203105851373065140234809390848	1472898787
69473	279				yellow	cin19961223T234652851384812139983602165504	1468062666
69476	285	2016-09-03T14:23:00Z			green	cin19961224T220845851465325140234842961664	1472912674
69481	285	2016-09-02T11:48:00Z	33.85119	5529.0	green	cin19961225T224917851554157140541379467008	1472816924
69484	346	2016-09-02T00:10:00Z			yellow	cin19961226T130503851605503140541620762368	1472775064
69485	295	2016-09-02T15:55:00Z	20.315918	3089.0	green	cin19961226T134948851608188140541645940480	1472831848
69489	308	2016-09-03T00:19:00Z	2.1463015	11721.0	red	cin19961226T225815851641095140541637547776	1472862146
69490	347	2016-09-03T20:35:00Z			green	cin19961227T001640851645800140234799036160	1472935052
69491	285	2016-09-04T21:50:00Z	72.54706	408.0	green	cin19961227T013030851650230140234834568960	1473025898
69499	316	2016-09-02T10:58:00Z	53.716465	687.0	green	cin19961228T084928851762968140541387859712	1472813960
69501	292	2016-09-02T16:32:00Z	52.799244	866.0	green	cin19961228T171450851793290140541629155072	1472834023
69503	276	2016-09-02T17:00:00Z	26.888885	3202.0	red	cin19961228T202738851804858140541379467008	1472835699
69507	319				yellow	cin19961229T100850851854130139983560201984	1468073440
69509	283	2016-09-02T08:09:00Z	76.97631	452.0	green	cin19961229T110828851857708140541387859712	1472803837
69511	346				green	cin19961229T211206851893926139983585380096	1467974199
69512	315	2016-09-03T08:51:00Z	32.222958	1559.0	green	cin19961229T220940851897380140234842961664	1472892784
69513	296	2016-09-03T10:15:00Z			red	cin19961229T221124851897484140234799036160	1472897806
69514	280	2016-09-03T07:50:00Z	29.895529	1275.0	green	cin19961229T221142851897502140234817783552	1472889067
69522	315	2016-09-03T02:33:00Z	72.64286	448.0	green	cin19961231T043326852006806140234924861184	1472870092
69523	285	2016-09-04T11:56:00Z	6.655993	4447.0	yellow	cin19961231T063219852013939140234834568960	1472990250
69528	315	2016-09-04T03:03:00Z	59.38686	548.0	green	cin19961231T231051852073851140234941646592	1472958306
69537	313	2016-09-02T13:44:00Z	54.690395	1204.0	green	cin19970101T133917852125957140541645940480	1472823934
